"species","candidate_1_path","candidate_2_path","candidate_3_path","candidate_4_path","candidate_5_path","candidate_6_path","candidate_7_path","candidate_1_confidence","candidate_1_kind","candidate_1_locator","candidate_1_resolution_px","candidate_1_use","candidate_1_association_basis","candidate_1_inspection_reference","candidate_1_sha256","candidate_2_confidence","candidate_2_kind","candidate_2_locator","candidate_2_resolution_px","candidate_2_use","candidate_2_association_basis","candidate_2_inspection_reference","candidate_2_sha256","candidate_3_confidence","candidate_3_kind","candidate_3_locator","candidate_3_resolution_px","candidate_3_use","candidate_3_association_basis","candidate_3_inspection_reference","candidate_3_sha256","candidate_4_confidence","candidate_4_kind","candidate_4_locator","candidate_4_resolution_px","candidate_4_use","candidate_4_association_basis","candidate_4_inspection_reference","candidate_4_sha256","candidate_5_confidence","candidate_5_kind","candidate_5_locator","candidate_5_resolution_px","candidate_5_use","candidate_5_association_basis","candidate_5_inspection_reference","candidate_5_sha256","candidate_6_confidence","candidate_6_kind","candidate_6_locator","candidate_6_resolution_px","candidate_6_use","candidate_6_association_basis","candidate_6_inspection_reference","candidate_6_sha256","candidate_7_confidence","candidate_7_kind","candidate_7_locator","candidate_7_resolution_px","candidate_7_use","candidate_7_association_basis","candidate_7_inspection_reference","candidate_7_sha256","current_gallery_entries","current_plant_photographs","current_maps","outcome","review_notes","account_id","source_collection_count","source_quality_recovery_path","source_quality_recovery_locator"
"Antidesma parvifolium","/Volumes/Crucial X10/SD/A A A/Antidesma parvifolium VRD 28.4.25/P1000051.JPG","/Volumes/Crucial X10/SD/A A A/Antidesma parvifolium VRD 28.4.25/P1000049.JPG","","","","","","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E064-01","0290f17120d6121e70e3ae70144ea2b7e0db46b7654082733e4351601aa9deeb","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E064-02","c646d88339243d2e066b6e183833c5ed2cdf04f7a89510768f00c5c79b472da0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Supported loose additions","Whole-plant setting and branching habit add scale; the labelled fruit candidate largely repeats the current fruit image.","plant-0d2750c257592327","3","",""
"Argusia argentea","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/A A A/Argusia argentea (prev Messerschimidia argentea)/Argusia at Rarrakala IM.jpg","","","","","","A","book image","PDF page 119; printed page 118; page-object index 1 (zero-based)","566x578","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p119-o1","","B","loose photograph","","2481x1584","gallery option","Association through the named source folder or historical-name trail.","E065-01","0919cfa7f44009f3f56204d364d1e43a3aa27da1037b94700d25f0fff5f8c651","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Supported loose additions","Coastal setting and the book's small whole-plant inset complement the flower close-up. The sunset view is contextual rather than diagnostic.","plant-489f5d817ef24d47","3","",""
"Asparagus racemosus","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Asparagaceae Asparagus Dracaena Thysanotis/Asparagus/Asparagus racemosus 9685.JPG","/Volumes/Crucial X10/SD/A A A/Asparagus racemosus/_1260227.JPG","/Volumes/Crucial X10/SD/A A A/Asparagus racemosus/_1260118.JPG","","","","","A","loose photograph","","5472x3648","gallery option","Species named in the filename.","E066-02","a763219cb7b03c1f96f3d45695598dc2e76d0665b59c76479199fa148f66ddc8","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E066-04","ecba8db187377621ab07af45d1280a97f06d679f721d017ef451d354b809e532","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E066-03","953d3a8b8056d646fbe6e18f74822c01487eed120d93f0d20ae871c9d963c176","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Supported loose additions","Climbing/hanging habit, immature berries and fine foliage detail are useful additions.","plant-d7f3ad986f3a95e0","6","",""
"Asteromyrtus magnifica","/Volumes/Crucial X10/SD/A A A/Asteromyrtus magnifica/P1010871.JPG","","","","","","","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E067-03","18bf2f6587c22a0289dc2758e41f8703faa07958dc150c470eeb199b691927c7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","Whole crown is the main missing dimension. Most other frames repeat the three displayed flower heads.","plant-08893edba45ec8ca","7","",""
"Asteromyrtus symphyocarpa","/Volumes/Crucial X10/SD/A A A/Asteromyrtus symphyocarpa/SELECT/Asteromyrtus symphyocarpa.d.jpg","/Volumes/Crucial X10/SD/A A A/Asteromyrtus symphyocarpa/SELECT/20240706_Asteromyrtus symphyocarpa.jpg","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/C. HERO SHOTS A-Z/AA/Forest Kingfisher perched on Asteromyrtus symphyocarpa.386.a.JPG","","","","","A","loose photograph","","1319x1759","gallery option","Species named in the filename.","E068-02","74a765fd8d2f989263bcc073ee9e0f0aaff4747d3bf222e47b3f57f072d7f3e6","A","loose photograph","","860x828","gallery option","Species named in the filename.","E068-04","3362f3859a82cdbc65a66dca1567f83a303b13bdeccfa488abeaa09749bd8253","A","loose photograph","","2250x3000","gallery option","Species named in the filename.","E068-10","796c9e0df122c24065259b1f68a62215cc3e96e38a21ddabc9012f010a7cc43b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Woody fruit beside flowers and a close flower structure view are complementary options; reject repeated versions of the existing clustered flowers. Additional kingfisher-perch photograph offers optional ecological context.","plant-a5cc01cb04166672","13","",""
"Atalaya hemiglauca","/Volumes/Crucial X10/SD/A A A/Atalaya hemiglauca Whitewood/P1070162.JPG","","","","","","","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E069-03","ab819c644dda8b5febbe9d6d9d0317816712c5c27d28d99431fedf7b85ffb555","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Narrow-leaf branch structure is a useful addition; other frames repeat the current flower and whole-tree views.","plant-b27bf0ef86451215","5","",""
"Atalaya variifolia","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/D. PLANT DESCRIPTIONS GENERA A-Z/AA/Atalaya variifolia/PICK/EXTRA/Atalaya variifolia w Western Honey Bee.362.a.JPG","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Sapindaceae Allophylus Atalaya Cupaniopis Ganophyllum/Atalaya varifolia 696.JPG","/Volumes/Crucial X10/SD/A A A/Atalaya variifolia/SELECT/Western Honey Bee on Atalya variifolia.(jpg362).b.JPG","","","","","A","loose photograph","","3093x2320","gallery option","Species named in the filename.","E070-03","ed85b765f73692547d8470250ad6fe89e259f9262531a51a82b94410f26975d4","B","loose photograph","","5472x3648","gallery option","Species named in the filename; Name spelling, abbreviation or historical combination needs retaining in provenance.","E070-04","5a9c8dc595b6ccbd9e2a066c9706b1235ac65f193fd2ee33589af86d3e417a4d","B","loose photograph","","2117x1695","gallery option","Species named in the filename; Name spelling, abbreviation or historical combination needs retaining in provenance.","E070-07","d458ae0f0afcb03fdd0fafa4d6e65afc96d164dc9f9c1ee77423a3c149e2401b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Close flower detail and leaf/canopy form complement the current broad flowers and winged fruit. Additional close bee/flower interaction is available.","plant-6475334bb4ba294f","10","",""
"Auranticarpa melanosperma","/Volumes/Crucial X10/SD/A A A/Auranticarpa melansoperma (prev Pittosporum melanospermum)/_1090989 Auranticarpa melanosperma.JPG","/Volumes/Crucial X10/SD/A A A/Auranticarpa melansoperma (prev Pittosporum melanospermum)/P1070933.JPG","","","","","","A","loose photograph","","4000x3000","gallery option","Species named in the filename.","E071-01","ba939a9208dc9a8d2b1b12ce48c74aa20c23d7b4428ba759b2fba22a0fe24391","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail; Name spelling, abbreviation or historical combination needs retaining in provenance.","E071-08","4fb6f647675bbc03b1943c9b0f341171ef81a4c8c05e652e7d277871287e32ea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","Developing fruit is the clear missing subject; other shortlisted views mainly repeat white flower heads. Additional sequence shows opened orange fruit with dark seeds.","plant-730cb494439e1e63","9","",""
"Avicennia marina subsp. eucalyptifolia","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Mangroves november 2025/avicennia marina 0052.JPG","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Mangroves november 2025/Avicennia marina 313.JPG","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","B","loose photograph","","5472x3648","gallery option","Species named in the filename; Full subspecies/variety not established: retain the source species-level caption.","E072-03","1251208eda7c89cbd7057bcb763f7f5472ceea314cb3ec43168bb1c3f228a1f8","B","loose photograph","","5472x3648","gallery option","Species named in the filename; Full subspecies/variety not established: retain the source species-level caption.","E072-11","48ad96c077d63ea749fc4b600b0cf98e178812e6ceac9b2d0c09899ea7b7daa4","B","book image","PDF page 123; printed page 122; page-object index 1 (zero-based)","569x572","low-resolution fallback","Photograph positioned with the authored species account in the book proof. Source heading/name trail is Avicennia marina; preserve that name and do not infer a finer rank.","B-p123-o1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Fruit/bud detail and older propagule-bearing foliage are worth reviewing. Rank must remain a separate question for species-only labels. Additional species-named photograph shows mature pale fruits; subspecies remains unverified.","plant-73e1d7012093c60b","6","",""
"Bambusa arnhemica","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/B B B/Bambusa arnhemica/P1000629.JPG","/Volumes/Crucial X10/SD/B B B/Bambusa arnhemica/_1020927.JPG","","","","","A","book image","PDF page 125; printed page 124; page-object index 2 (zero-based)","387x568","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p125-o2","","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E073-02","4ffb09c31c1dbf7e1f3b247ed8093876c65d24c23172016f0fee2f2305173399","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E073-08","48da01c838eb4c7f05d0f238662de6fb921b2ee7030e6cd177566fc7cf0618f5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Supported loose additions","Leaf detail and older whole-clump habit complement the current crown silhouette. Additional sequence shows dry reproductive branches, a different stage from green bamboo.","plant-a993e06368ad911d","3","",""
"Banksia dentata","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/D. PLANT DESCRIPTIONS GENERA A-Z/BB/Banksia dentata/PICK/EXTRA/Banksia dentata new leaves.547.a.JPG","/Volumes/Crucial X10/SD/B B B/Banksia dentata/P1180604.JPG","/Volumes/Crucial X10/SD/B B B/Banksia dentata/_1140220.JPG","","","","","A","loose photograph","","3263x2447","gallery option","Species named in the filename.","E074-01","153c0c238fb53770f6dc71c67fc4057c37eac7e5158c512cfebadedab4847e49","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E074-04","e42c0d48dcfa284ea7a06a4f87c907a91a88c3d59cfea00586f147ca8f008c77","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E074-11","df90e49e1a6c82fff38dc0f6b5a5d864c52788756f1068ebd3d2afb68f04f8a1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","Spent fruiting cone and wider leafy branches add stage and context; flowers largely repeat the gallery. Additional close old cone shows opened woody follicles.","plant-2fe1a6482e240966","5","",""
"Barringtonia acutangula","/Volumes/Crucial X10/SD/B B B/Barringtonia acutangula/_1080748 Barringtonia acutangula buds, Adel R.JPG","/Volumes/Crucial X10/SD/B B B/Barringtonia acutangula/_1120511 #Barringtonia acutangula.JPG","","","","","","A","loose photograph","","4000x3000","gallery option","Species named in the filename.","E075-03","691d12869f2911604c5046ebeadfa9071807a847bfd273c96ac840310c212eb9","A","loose photograph","","4000x3000","gallery option","Species named in the filename.","E075-08","737ce785e48acd820f125e519ccff44d89377566f2d78dcbc7bd55f70fa132bd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","0","Supported loose additions","Wider foliage/habit is the main gap. Most flowers and fruit repeat the four current photographs. Additional named photograph has a hanging green fruit.","plant-66bac523422d13f6","7","",""
"Barringtonia asiatica","/Volumes/Crucial X10/AA A MONSOON RAINFOREST BOOK/MONSOON FOREST BOOK IMAGES/Barringtonia asiatica 1 Tangkoko.jpg","/Volumes/Crucial X10/SD/# A A COMPLETED/Barringtonia asiatica/_1130477 Barringtonia asiatica Stuart Park.JPG","/Volumes/Crucial X10/SD/# A A COMPLETED/Barringtonia asiatica/SELECT/Barringtonia asiatica (389).d.jpg","","","","","A","loose photograph","","3240x4320","gallery option","Species named in the filename.","E076-04","0f26e77efea1e7b2857bd845b05dc1a85d78544d053d8140588c2d74b1abd4f4","A","loose photograph","","4000x3000","gallery option","Species named in the filename.","E076-05","a26f0dc039466b42ad086b0aadaeea59299d1e731ec9e3ba42aa806f185a8e5a","A","loose photograph","","1599x1599","gallery option","Species named in the filename.","E076-06","3ded3a7f3e847ea7ffe20d9f891071ab7afcb630167614d14b2b62db2184d1a5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","Young plant, full adult-tree shape and a closer flower interior provide useful additions.","plant-651ae991c672f424","14","",""
"Batis argillicola","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","","","A","book image","PDF page 126; printed page 125; page-object index 1 (zero-based)","387x573","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p126-o1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Book addition only","No new loose photograph; the older book gives a wider upright fruiting/leafy stem, with modest added context.","plant-ca81390191c5b3b9","2","",""
"Berrya javanica","/Volumes/Crucial X10/SD/# A A COMPLETED/Berrya javanica/P1030240.JPG","","","","","","","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E078-02","c4440c17ee6f52db72ff1a5d1eb2b8f617d174b1c1306839168edc73fde53cd0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","All loose candidates are similar fruit-cluster views. Candidate 2 provides somewhat wider leaf/branch context, but expansion value is limited.","plant-dc6fbf52fb3bcbb7","5","",""
"Blakella confertiflora","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/1 1 1 1 1 BOT GDNS 10.9.2026/Blakella conferiflora/P1170227.JPG","/Volumes/Crucial X10/SD/C C C/Corymbia confertilora/_1130369 #Corymbia confertiflora.JPG","/Volumes/Crucial X10/WILDLIFE/Fig Bird in Corymbia polysciada/_1130931 Fig Bird in Corymbia confertiflora.JPG","","","","","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail; Name spelling, abbreviation or historical combination needs retaining in provenance.","E079-04","16834efb28eea5687bb5a75c37cf9f64e4b490d8d98888a8ce444ee7bb96bee1","B","loose photograph","","4000x3000","gallery option","Species named in the filename; Name spelling, abbreviation or historical combination needs retaining in provenance.","E079-06","d287e4246abc6b8bc814bc5c57aab3fedd5b0635e9abc17275693ad2601ba0f7","C","loose photograph","","4000x3000","identification-review lead","Species named in the filename; Name spelling, abbreviation or historical combination needs retaining in provenance; Byte-identical image also labelled for Blakella polysciada; resolve competing allocation.","E079-11","7878115792d82aef7501129da3a7abe854d52da6234073f45f6865a1e4604684","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Trunk/crown architecture and closer flower detail add context. Source Corymbia labels are historical-name leads. Additional figbird photograph offers ecological context under the older Corymbia name.","plant-077678b4c46fd14d","17","",""
"Blakella grandifolia","/Volumes/Crucial X10/SD/C C C/Corymbia grandifolia/P1060931.JPG","/Volumes/Crucial X10/SD/C C C/Corymbia grandifolia/P1060927.JPG","/Volumes/Crucial X10/SD/C C C/Corymbia grandifolia/P1060930.JPG","","","","","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail; Name spelling, abbreviation or historical combination needs retaining in provenance.","E080-02","7b1dcd560bc4c0c3042f3e12eee1a3e725504d4d259391387d6cff34fc1657aa","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail; Name spelling, abbreviation or historical combination needs retaining in provenance.","E080-05","c427f5046999271d269244618e7263338a2a2e7f4a980c8bfb422779970c1277","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail; Name spelling, abbreviation or historical combination needs retaining in provenance.","E080-09","6cb4d53b4bd2591e6b8458eb6db778a9f6a67333d863efed903ee346215170cf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","Smooth bark detail and foliage/crown structure complement habit, flowers and fruit. Additional sequence has smooth bark detail.","plant-e314b135f9f6dd31","4","",""
"Blakella kombolgiensis","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/D. PLANT DESCRIPTIONS GENERA A-Z/BB/Blakella kombolgiensis (prev. Corymbia kombolgiensis) (use 2022 fruit pic)/PICK/EXTRA/Blakella kombolgiensis.3899.GF.JPG","","","","","","","A","loose photograph","","4484x4309","gallery option","Species named in the filename.","E081-01","816d6eabf647c894065f859d458b81b49dc2fb91a86d887fb99052bcf67840af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","Clear open-flower detail fills a gap alongside current fruit, bark and habit.","plant-c709d9434ef5122d","4","",""
"Blakella polysciada","/Volumes/Crucial X10/WILDLIFE/Fig Bird m & f/SELECT/PICKXX/Fig Bird on Blakella polysciada.933.a.JPG","/Volumes/Crucial X10/SD/B B B/Blakella polysciada/P1150782.JPG","/Volumes/Crucial X10/SD/C C C/Corymbia polysciada (prev. E. clavigera) 19.8.2024/_1070357.JPG","/Volumes/Crucial X10/SD/B B B/Blakella polysciada/P1150783.JPG","","","","A","loose photograph","","1743x2324","gallery option","Species named in the filename.","E082-02","152fe8e6ab066543b7ef32768c5ff030a1f8aa368e9841a1eaa93ea08dcce4de","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E082-05","322f8e192db6b104d824417326536e6656b35fa0c60e823b020bafd799a955a0","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail; Name spelling, abbreviation or historical combination needs retaining in provenance.","E082-04","fd591389ac1d56e3c93d264092f106a265f0421333087552732e665be1f5d239","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E082-08","4abc8731b4e4521554058b852b50213252bc66b63d3e8c88294161b3d9f868bb","","","","","","","","","","","","","","","","","","","","","","","","","4","3","1","Supported loose additions","Trunk/bark, figbird association and wider hanging foliage are useful. Current gallery item 4 is a distribution map, so four displayed items are only three plant photographs. Additional sequence has trunk/bark detail.","plant-81ec04a603f2989f","17","",""
"Blechnum orientale","/Volumes/Crucial X10/SD/HABITATS/SELECT/20240926_174226 Macar involu, Blechnum orientale, Carallia, Black W, Mel leuc, Loph lacti, Term micro.jpg","/Volumes/Crucial X10/SD/B B B/Blechnum orientale/P1020790.JPG","","","","","","A","loose photograph","","4000x3000","gallery option","Species named in the filename.","E083-02","39f5a895d442b3fc19242bd21ac81630c097bab97701fc31b13f2658c08dd1d0","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E083-04","e29bf6f709f6b69d364e2debb9c73d9d491ceaafd775c7d17387baad4a38b935","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Supported loose additions","Frond detail and a closer clump/understorey view complement the current distant habit photograph.","plant-a68efd593d6a177c","6","",""
"Blepharocarya depauperata","/Volumes/Crucial X10/SD/B B B/Blephocareya depauperata Ridge at Humpty Doo 23.1.25/_1250666.JPG","/Volumes/Crucial X10/SD/B B B/Blephocareya depauperata Ridge at Humpty Doo 23.1.25/_1250657.JPG","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/B. PLANT COMMUNITIES/B. LOWLAND HABITATS/Blepharocarya depauperat habitat.WB.JPG","/Volumes/Crucial X10/SD/B B B/Blephocareya depauperata Ridge at Humpty Doo 23.1.25/_1250658.JPG","","","","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail; Name spelling, abbreviation or historical combination needs retaining in provenance.","E084-02","17dd30262aa5c02532c985a94df948e523ac7564464dd3aa036cc7d8491f850d","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail; Name spelling, abbreviation or historical combination needs retaining in provenance.","E084-06","9b2a959eda55991872a9a73facd245c85ea5faf0e3e8cdcc10fd9ebdaef2ebf3","B","loose photograph","","5472x3648","gallery option","Species named in the filename; Name spelling, abbreviation or historical combination needs retaining in provenance.","E084-01","6c5c222710db49b0dc3075ff13ae8ed0cac729442eb9835127583d62f85ab88b","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail; Name spelling, abbreviation or historical combination needs retaining in provenance.","E084-11","a9cee80cee3178eeecaab7f78eca4d82a0dc2d7bbfb09881e45e8f5a1d78406d","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","Detached winged fruit, trunk and wider habitat provide clear additional dimensions. Spelling variants require documentary review. Additional sequence has bark detail.","plant-a91130ff1e4aa418","9","",""
"Bombax ceiba","/Volumes/Crucial X10/SD/B B B/Bombax ceiba/SELECT/PICK/Bombax ceiba.b.JPG","/Volumes/Crucial X10/SD/B B B/Bombax ceiba/_1120846 Bombax ceiba.JPG","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","A","loose photograph","","3442x2582","gallery option","Species named in the filename.","E085-01","6366278111af74b4747692af901733ca5c97da6b96b9674eae0d7291e58f2478","A","loose photograph","","4000x3000","gallery option","Species named in the filename.","E085-04","212c7da89897a8b16b9b0c68f216939a4b81d4f686982d7abc639c54d38ffa2e","A","book image","PDF page 129; printed page 128; page-object index 2 (zero-based)","566x568","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p129-o2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","Flower interior, emerging foliage on branches and the older adult tree in leaf are useful additions.","plant-cb625a8cfc3543c5","8","",""
"Boronia grandisepala","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","","","A","book image","PDF page 130; printed page 129; page-object index 2 (zero-based)","567x566","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p130-o2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Book addition only","The older book contains a different flowering-stem view; no new loose photograph found.","plant-d73b37e390dcfad9","3","",""
"Boronia lanuginosa","/Volumes/Crucial X10/SD/B B B/Boronia lanuginosa/Boronia lanuginosa 3 Hidden Island.jpg","/Volumes/Crucial X10/SD/B B B/Boronia lanuginosa/Boronia lanuginosa Jar Is IM.jpg","","","","","","A","loose photograph","","4000x3000","gallery option","Species named in the filename.","E087-01","4cddf8584e1c4af8360e30d15c56137bdfc81d5ab5140f23a4998cc71b9726af","A","loose photograph","","4320x3240","gallery option","Species named in the filename.","E087-02","e086794ad315e1fc278c965e906710d1f01d62b0bee5626de654b25137474ceb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Supported loose additions","Pink-flowered views with clear fine foliage differ from the existing pale flower photograph; retain colour/stage as source evidence, not a taxonomic conclusion.","plant-49ba8de13370a0ac","5","",""
"Brachychiton collinus","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Malvaceae Brachychiton Helicteres Hibiscus sterculia Thespesia Abelmoschus Abutilon Adansonia Gossypium Urena/Brachychiton/Brachychiton collinus 5088.JPG","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Malvaceae Brachychiton Helicteres Hibiscus sterculia Thespesia Abelmoschus Abutilon Adansonia Gossypium Urena/Brachychiton/Brachychiton collinus 5083.JPG","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Malvaceae Brachychiton Helicteres Hibiscus sterculia Thespesia Abelmoschus Abutilon Adansonia Gossypium Urena/Brachychiton/Brachychiton collinus 5096.JPG","","","","","A","loose photograph","","5472x3648","gallery option","Species named in the filename.","E088-02","3c7c1276565f268b14b60828e1df304459cafb4f286e50f1ce8a8fad97d63fb2","A","loose photograph","","5472x3648","gallery option","Species named in the filename.","E088-01","b40482ae1f34b8919e2f9cc7eb1f3cfd451adab2620ef96e97fb5e647cc5018e","A","loose photograph","","5472x3648","gallery option","Species named in the filename.","E088-08","f497a28fb6ec5bc3a51a99db4f006055e317cc535b0147d111a91a58bbbcc84f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","Bark detail and sparse branching/reproductive growth offer possible additions; wider rocky habit mostly overlaps current coverage. Additional named file gives close bark texture.","plant-ce2b4389c3dbd98e","5","",""
